"firm"	"salary"	"tenure"	"age"	"sales"	"profits"	"assets"
"1"	1	3030	7	61	161315	2956	257389
"2"	2	6050	0	51	144416	22071	237545
"3"	3	3571	11	63	139208	4430	49271
"4"	4	3300	6	60	100697	6370	92630
"5"	5	0	18	63	100469	9296	355935
"6"	6	9375	6	57	81667	6328	86100
"7"	7	9525	15	60	76431	5807	668641
"8"	8	5000	5	61	57813	5372	59920
"9"	9	999	3	57	56154	1120	36672
"10"	10	3300	2	60	53588	6398	59550
"11"	11	3500	16	63	50777	5165	617679
"12"	12	2493	5	61	47678	1704	42754
"13"	13	1911	7	58	47061	2945	33673
"14"	14	2130	4	59	41322	1048	37675
"15"	15	1185	0	56	37154	3780	30966
"16"	16	5236	2	60	35853	1259	299804
"17"	17	1990	4	60	33674	568	14166
"18"	18	6000	32	74	33296	3765	19166
"19"	19	6229	5	63	32379	3782	194398
"20"	20	1523	3	56	31707	578	3665875
